"Route","Stop","stop_id"
10,"conv",16035
10,"weem",15575
10,"weed",15880
10,"tuhe",16385
10,"exte",16720
10,"haat",16115
10,"hare",17275
10,"rtro",17480
10,"chop",72445
10,"fost",73600
10,"kepl",16400
10,"elbr",14125
10,"elon",12150
10,"elga",11725
10,"elwh",11250
11,"mopl",18721
11,"atmp",27235
11,"egsq",16355
11,"atde",16045
11,"kepl",16400
11,"bdli",14365
11,"bdth",12480
11,"bdcl",11230
11,"psta",30
11,"wrco",19700
11,"chbr",73055
11,"slmi",59060
11,"patc",23080
11,"copk",22500
11,"nmni",20475
11,"chga",18615
11,"maro",22765
11,"brdo",20465
11,"brve",20400
12,"bknm",72405
12,"arce",5540
12,"p117",5085
12,"exte",16720
12,"conv",16035
12,"weem",15575
12,"weed",15880
12,"tuhe",16385
12,"kepl",16400
12,"elbr",14125
12,"elon",12150
12,"elga",11725
12,"elwh",11250
12,"ccrw",6325
12,"keco",5715
12,"bwlo",NA
12,"sfbu",NA
12,"wasa",58185
12,"wsch",70195
12,"appo",5130
13,"wsch",70195
13,"wasa",58185
13,"appo",5130
13,"keco",5715
13,"ccrw",6325
13,"rima",6900
13,"prwa",7180
13,"prto",6150
13,"phen",7050
13,"arce",5540
13,"wasb",4760
13,"wash",4365
13,"walm",4345
13,"woma",4190
14,"gace",1380
14,"jame",1526
14,"rt1a",2360
14,"wick",2780
14,"2102",70540
14,"kogr",58140
14,"pofr",3585
14,"fima",3760
14,"appo",5130
14,"ccrw",6325
14,"intl",7430
14,"je95",8770
14,"kepl",16400
14,"narr",130
14,"nabe",NA
14,"bosh",NA
16,"kogr",58140
16,"pofr",3585
16,"fima",3760
16,"nete",73425
16,"r2eg",73405
16,"coco",4590
16,"kect",73370
16,"mbwa",73345
16,"ccrw",6325
16,"kepl",16400
16,"elbr",14125
16,"elon",12150
17,"walc",59915
17,"atpl",12210
17,"plmu",13945
17,"odfe",14350
17,"olsq",14655
17,"crws",14475
17,"kepl",16400
17,"dych",12120
17,"stph",71140
17,"afcs",11195
17,"buho",19245
17,"elsa",58070
17,"elan",60030
17,"tuth",16905
18,"kepl",16400
18,"crws",14475
18,"crch",14015
18,"weun",13415
18,"lhel",12560
18,"dych",12120
18,"tuth",16905
18,"wasq",17135
18,"egsa",18935
18,"buho",19245
18,"elsa",58070
18,"elan",60030
19,"stph",71140
19,"dych",12120
19,"odfe",14350
19,"olsq",14655
19,"crws",14475
19,"kepl",16400
19,"plmu",13945
19,"atpl",12210
19,"walc",59915
19,"mphl",18720
19,"mach",17890
19,"stom",17775
19,"maat",16465
1,"soas",72125
1,"bebr",23920
1,"brka",23485
1,"patc",23080
1,"page",21945
1,"horo",19415
1,"hool",18290
1,"tuth",16905
1,"kepl",16400
1,"rihe",14010
1,"edth",12500
1,"bdcl",11230
1,"shal",72130
1,"shwa",9820
1,"elpo",8380
1,"tfgr",7265
1,"hoch",20250
1,"m146",21745
1,"msdo",21340
1,"adlu",20665
1,"brdo",20465
1,"brve",20400
1,"chbr",73055
1,"wrco",19700
1,"psta",30
1,"cawe",30126
1,"wasq",17135
1,"egsa",18935
1,"bdth",12480
1,"bdli",14365
1,"stom",17775
1,"chmt",17750
1,"chri",17730
1,"vaho",17500
1,"chsm",18090
1,"smfr",17540
1,"dovz",19965
1,"doea",18860
1,"smga",17266
1,"maat",16465
1,"olsq",14655
1,"lasq",15770
1,"hohi",70310
20,"prfd",71045
20,"elwh",11250
20,"elga",11725
20,"elon",12150
20,"elbr",14125
20,"weed",15880
20,"kepl",16400
20,"prre",10030
20,"elpo",8380
20,"poli",8045
20,"tfgr",7265
20,"netp",6555
20,"conv",16035
20,"weem",15575
20,"tuhe",16385
20,"exte",16720
20,"exit",3810
20,"wyom",1945
20,"asha",535
20,"edth",12500
20,"riho",14005
20,"psta",30
20,"wrco",19700
20,"chbr",73055
20,"brdo",20465
20,"adlu",20665
20,"msdo",21340
20,"p117",5085
20,"mopl",18721
20,"atmp",27235
20,"egsq",16355
20,"atde",16045
21,"ccrw",6325
21,"rima",6900
21,"wmvd",7075
21,"ince",8510
21,"grph",9400
21,"pare",10925
21,"kepl",16400
22,"ccrw",6325
22,"wmvd",7075
22,"popo",8255
22,"pogc",9350
22,"paro",10660
22,"pore",11310
22,"elon",12150
22,"elbr",14125
22,"weed",15880
22,"kepl",16400
22,"adsc",12245
23,"ccrw",6325
23,"prto",6150
23,"arce",5540
23,"crom",4620
23,"tiar",4081
23,"ctne",73475
24,"gace",1380
24,"fird",72135
24,"frpe",60002
24,"sopr",60001
24,"edpo",72585
24,"exte",16720
24,"cocr",73210
24,"gard",70210
24,"nora",73010
24,"jlqt",72935
24,"domi",72952
24,"elbt",58485
24,"tory",72955
24,"grph",9400
24,"pare",10925
24,"brpa",12580
27,"kepl",16400
27,"lasq",15770
27,"olsq",14655
27,"maat",16465
27,"stom",17775
27,"mach",17890
27,"cent",20845
27,"smfr",17540
27,"chsm",18090
27,"mesm",18975
27,"smtu",20125
27,"gasm",73110
27,"adcb",19030
27,"huea",19240
27,"adlu",20665
27,"hsfi",20505
27,"ric",18995
27,"stop",NA
27,"mbjo",73300
27,"haki",15300
27,"gwgr",18550
27,"hiap",17220
27,"mphl",18720
28,"stop",NA
28,"mbjo",73300
28,"haki",15300
28,"olsq",14655
28,"lasq",15770
28,"kepl",16400
28,"maat",16465
28,"stom",17775
28,"mach",17890
28,"cent",20845
28,"gwgr",18550
28,"hiap",17220
28,"mphl",18720
29,"ccrw",6325
29,"keco",5715
29,"bwlo",NA
29,"sfbu",NA
29,"wasa",58185
29,"appo",5130
29,"wsch",70195
29,"rima",6900
29,"prwa",7180
29,"prto",6150
29,"phen",7050
29,"arce",5540
29,"wasb",4760
29,"wash",4365
29,"walm",4345
29,"woma",4190
2,"adsc",12245
2,"elon",12150
2,"elbr",14125
2,"weed",15880
2,"kepl",16400
2,"wesx",NA
2,"west",20
2,"asha",535
2,"wyom",1945
2,"exit",3810
2,"exte",16720
2,"conv",16035
2,"weem",15575
2,"tuhe",16385
2,"fird",72135
2,"pmpr",58830
2,"mtho",3660
2,"mtfr",7125
2,"wapk",7300
2,"majo",7395
2,"whch",8520
2,"tuth",16905
2,"slpl",71005
2,"brvl",71020
2,"pasq",25335
2,"linr",58940
30,"ccrw",6325
30,"wmvd",7075
30,"megr",8060
30,"oade",9800
30,"crga",11670
30,"crwe",12815
30,"popo",8255
30,"pogc",9350
30,"paro",10660
30,"pore",11310
30,"elon",12150
30,"elbr",14125
30,"weed",15880
30,"kepl",16400
31,"stom",17775
31,"chmt",17750
31,"chri",17730
31,"vaho",17500
31,"chsm",18090
31,"smfr",17540
31,"kepl",16400
31,"crws",14475
31,"crch",14015
31,"brpa",12580
31,"mopl",18721
31,"atmp",27235
31,"egsq",16355
31,"atde",16045
31,"ric",18995
31,"conv",16035
31,"weem",15575
31,"weed",15880
31,"tuhe",16385
31,"exte",16720
31,"linr",58940
31,"pasq",25335
31,"brvl",71020
31,"west",20
31,"asha",535
31,"wyom",1945
31,"exit",3810
33,"sksq",72530
33,"evgr",13095
33,"tpnr",15740
33,"wamp",58815
33,"wapw",13765
33,"waso",14415
33,"wapo",14765
33,"aneg",17290
33,"tuth",16905
33,"kepl",16400
33,"wabu",17050
33,"brsi",15280
33,"vepa",11770
33,"bpcv",9195
33,"wicv",9345
33,"lsep",72540
33,"sbma",12960
33,"elga",11725
33,"elon",12150
33,"elbr",14125
33,"weed",15880
33,"ciba",11700
35,"soas",72125
35,"arne",22855
35,"nebh",20950
35,"nefe",20055
35,"nbrw",17565
35,"brsi",15280
35,"tapo",15150
35,"kepl",16400
3,"oasu",4600
3,"wasa",58185
3,"hofo",7750
3,"waps",9355
3,"nobr",10685
3,"eaal",12050
3,"riho",14005
3,"kepl",16400
3,"psta",30
3,"pabr",9755
3,"coni",7145
3,"waba",4940
4,"waba",4940
4,"coni",7145
4,"hofo",7750
4,"pabr",9755
4,"nobr",10685
4,"eaal",12050
4,"riho",14005
4,"kepl",16400
4,"psta",30
4,"waps",9355
4,"wasa",58185
4,"oasu",4600
50,"adlu",20665
50,"dovz",19965
50,"doea",18860
50,"smga",17266
50,"kepl",16400
50,"brco",24645
50,"d295",58795
50,"trdp",23225
50,"msdo",21340
50,"fide",58790
51,"ccri",24155
51,"lipa",23665
51,"msch",21670
51,"brch",19925
51,"adch",18795
51,"psta",30
51,"kepl",16400
51,"riho",14005
51,"grey",73495
51,"noce",24641
51,"lima",24810
51,"wmns",60200
51,"pasq",25335
51,"cspl",50095
51,"maas",26015
54,"riho",14005
54,"kepl",16400
54,"psta",30
54,"lipa",23665
54,"ccri",24155
54,"grey",73495
54,"noce",24641
54,"lima",24810
54,"wmns",60200
54,"pasq",25335
54,"cspl",50095
54,"maas",26015
54,"adch",18795
54,"brch",19925
54,"msch",21670
55,"cent",20845
55,"smtu",20125
55,"mesm",18975
55,"chsm",18090
55,"smfr",17540
55,"kepl",16400
55,"gasm",73110
55,"adcb",19030
55,"huea",19240
55,"adlu",20665
55,"hsfi",20505
55,"ric",18995
55,"lasq",15770
55,"olsq",14655
55,"maat",16465
55,"stom",17775
55,"mach",17890
55,"netp",6555
55,"tfgr",7265
55,"poli",8045
55,"elpo",8380
55,"prre",10030
55,"elwh",11250
55,"elga",11725
55,"elon",12150
55,"elbr",14125
55,"weed",15880
57,"kepl",16400
57,"smfr",17540
57,"chsm",18090
57,"mesm",18975
57,"smtu",20125
57,"cent",20845
57,"gasm",73110
57,"adcb",19030
57,"huea",19240
57,"adlu",20665
57,"hsfi",20505
57,"ric",18995
58,"sfcr",70395
58,"es44",70390
58,"esmo",22945
58,"rogr",21565
58,"bpms",20830
58,"msdo",21340
58,"adlu",20665
58,"brdo",20465
58,"brve",20400
58,"chbr",73055
58,"wrco",19700
58,"psta",30
58,"kepl",16400
58,"riho",14005
58,"conv",16035
58,"weem",15575
58,"weed",15880
58,"tuhe",16385
58,"exte",16720
58,"exit",3810
58,"wyom",1945
58,"asha",535
58,"west",20
59,"slpl",71005
59,"brvl",71020
59,"pasq",25335
59,"linr",58940
59,"exte",16720
59,"conv",16035
59,"weem",15575
59,"weed",15880
60,"gace",1380
60,"twmi",2035
60,"emtu",3175
60,"pmpr",58830
60,"mtho",3660
60,"host",4095
60,"majo",7395
60,"whch",8520
60,"kepl",16400
60,"pose",3385
60,"grla",2605
60,"ga17",2380
60,"conv",16035
60,"weem",15575
60,"weed",15880
60,"tuhe",16385
60,"exte",16720
60,"exit",3810
60,"wyom",1945
60,"asha",535
60,"2102",70540
60,"rtwe",57535
60,"wake",435
60,"fird",72135
60,"mtfr",7125
60,"wapk",7300
60,"tuth",16905
61,"conv",16035
61,"weem",15575
61,"weed",15880
61,"tuhe",16385
61,"exte",16720
61,"tuth",16905
61,"whch",8520
61,"majo",7395
61,"wapk",7300
61,"mtfr",7125
61,"fird",72135
61,"pmpr",58830
61,"mtho",3660
61,"tpic",72985
61,"6-Mar",NA
63,"stsm",2475
63,"amex",2295
63,"miga",2175
63,"gafo",2020
63,"nema",1895
63,"brak",1760
63,"boco",1430
63,"gace",1380
63,"ciha",1375
63,"aqsh",2080
63,"emva",2125
63,"oxbo",2570
63,"wmss",2470
64,"kirr",1230
64,"uri",1225
64,"rtwe",57535
64,"urib",58845
64,"rt1a",2360
64,"jame",1526
64,"nema",1895
64,"ccrn",58145
64,"ga17",2380
64,"gace",1380
64,"metn",72370
65,"conv",16035
65,"weem",15575
65,"weed",15880
65,"tuhe",16385
65,"exte",16720
65,"2102",70540
65,"rtwe",57535
65,"wake",435
65,"narr",130
66,"uri",1225
66,"kirr",1230
66,"2138",50650
66,"exva",50485
66,"2102",70540
66,"rt24",3235
66,"ccrw",6325
66,"tfgr",7265
66,"kepl",16400
66,"psta",30
66,"exte",16720
66,"edpo",72585
66,"sopr",60001
66,"frpe",60002
66,"fird",72135
66,"gace",1380
66,"petr",540
66,"wake",435
66,"narr",130
66,"gabe",29120
67,"gace",1380
67,"beme",1145
67,"salv",820
67,"beru",730
67,"maho",605
67,"bele",72730
68,"ccrn",58145
68,"topk",1905
68,"3rbv",1645
68,"gace",1380
68,"beme",1145
68,"fibe",73225
68,"dhsm",73480
68,"kama",NA
69,"uri",1225
69,"petr",540
69,"wake",435
69,"narr",130
69,"gabe",29120
6,"rwzo",58990
6,"prth",12635
6,"ccrp",13550
6,"popr",14210
6,"kepl",16400
6,"coho",11985
71,"jlnm",72310
71,"nmda",21110
71,"nmra",21740
71,"patc",23080
71,"brba",23345
71,"hubr",24075
71,"brjo",24290
71,"mibr",24520
71,"s122",24496
72,"patc",23080
72,"deba",23215
72,"dewh",23645
72,"welo",22665
72,"poan",22265
72,"sfpo",20795
72,"walp",19450
72,"adch",18795
72,"psta",30
72,"kepl",16400
72,"riho",14005
73,"patc",23080
73,"loms",22405
73,"msch",21670
73,"lipa",23665
73,"ccri",24155
75,"patc",23080
75,"deba",23215
75,"lode",23775
75,"menb",24565
75,"asht",24815
75,"noce",24641
75,"lima",24810
75,"amic",24820
75,"conv",16035
75,"weem",15575
75,"weed",15880
75,"tuhe",16385
75,"exte",16720
75,"linr",58940
75,"pasq",25335
75,"brvl",71020
75,"flet",24770
78,"patc",23080
78,"maro",22765
78,"scbe",29630
78,"nebh",20950
78,"pafe",18555
78,"wamp",58815
78,"brsi",15280
78,"tapo",15150
78,"kepl",16400
78,"bhpr",21060
78,"slmi",59060
7,"patc",23080
7,"exte",16720
7,"brpa",12580
7,"pare",10925
7,"grph",9400
7,"cocr",73210
7,"gard",70210
7,"nora",73010
7,"jlqt",72935
7,"domi",72952
7,"elbt",58485
7,"narr",130
7,"wake",435
7,"rtwe",57535
7,"2102",70540
7,"conv",16035
7,"weem",15575
7,"weed",15880
7,"tory",72955
7,"tuhe",16385
7,"stss",21835
7,"copr",70800
7,"grrt",22155
7,"chep",24440
7,"mapl",51120
7,"harr",25110
80,"arbl",70895
80,"arne",22855
80,"aryo",23005
80,"cogb",21880
80,"meho",30350
80,"patc",23080
80,"argb",23165
80,"stcs",30175
80,"nece",57660
80,"beth",60235
87,"prri",50830
87,"wapl",50195
87,"cadu",50125
87,"maas",26015
87,"fmse",58765
87,"medr",50000
87,"seri",50055
88,"simv",12710
88,"walc",59915
92,"ric",18995
92,"atmp",27235
92,"egsq",16355
92,"atde",16045
92,"kepl",16400
92,"unec",58150
92,"fopo",15385
92,"esmp",16645
92,"goap",51170
95,"exte",16720
95,"exit",3810
95,"wyom",1945
95,"asha",535
95,"west",20
95,"conv",16035
95,"weem",15575
95,"weed",15880
9,"patc",23080
9,"exte",16720
9,"brpa",12580
9,"pare",10925
9,"grph",9400
9,"cocr",73210
9,"elbt",58485
9,"tory",72955
9,"jlqt",72935
9,"narr",130
9,"wake",435
9,"rtwe",57535
9,"2102",70540
9,"conv",16035
9,"weem",15575
9,"weed",15880
9,"tuhe",16385
9,"cbjo",72900
9,"stss",21835
9,"copr",70800
9,"grrt",22155
9,"chep",24440
9,"mapl",51120
9,"harr",25110
9,"pasc",70330
9,"mphl",18720
9,"adlu",20665
9,"dovz",19965
9,"doea",18860
9,"smga",17266
28,"conv",16035
28,"weem",15575
28,"weed",15880
28,"tuhe",16385
28,"exte",16720
28,"linr",58940
28,"pasq",25335
28,"brvl",71020
31,"wesx",NA
69,"kirr",1230
69,"2138",50650
69,"exva",50485
69,"2102",70540
69,"rt24",3235
69,"ccrw",6325
69,"tfgr",7265
69,"kepl",16400
6,"mets",59015
89,"walc",59915
89,"plco",55500
89,"scvi",55510
89,"devn",11840
89,"haho",29680
89,"arma",29675
89,"jenm",29570
50,"atde",16045
50,"egsq",16355
50,"atmp",27235
9,"kepl",16400
22,"megr",8060
22,"oade",9800
22,"crga",11670
22,"crwe",12815
34,"kepl",16400
34,"tuth",16905
34,"wabu",17050
34,"wapo",14765
34,"waso",14415
34,"wapw",13765
34,"wamp",58815
34,"tpnr",15740
34,"evgr",13095
34,"sksq",72530
34,"aneg",17290
34,"brsi",15280
34,"vepa",11770
34,"bpcv",9195
34,"wicv",9345
63,"weho",29505
75,"argb",23165
75,"stcs",30175
75,"nece",57660
75,"beth",60235
76,"patc",23080
76,"deba",23215
76,"lode",23775
76,"menb",24565
76,"asht",24815
76,"lima",24810
76,"argb",23165
76,"stcs",30175
76,"nece",57660
76,"beth",60235
20,"ccrw",6325
20,"rima",6900
20,"wmvd",7075
20,"ince",8510
20,"grph",9400
20,"pare",10925
20,"crwe",12815
20,"crga",11670
20,"oade",9800
20,"megr",8060
21,"crwe",12815
21,"crga",11670
21,"oade",9800
21,"megr",8060
30,"pare",10925
30,"grph",9400
30,"ince",8510
30,"rima",6900
60,"patc",23080
60,"brba",23345
60,"hubr",24075
60,"brjo",24290
60,"mibr",24520
60,"s122",24496
27,"wesx",NA
